 ,Mean,,,,,,,,
AUD1,59.966,,,,,,,,
AUD2,28.511,,,,,,,,
AUD3,77.77,,,,,,,,
AUD4,76.689,,NaN,64.877,NaN,NaN,NaN,,
MOs3,49.205,,35.035,54.746,59.966,NaN,18.212,,
MOs4,34.111,,69.735,NaN,28.511,NaN,NaN,,
TEa1,18.212,,37.298,65.789,77.77,49.205,8.785,,
TEa3,8.785,,55.87,80.854,76.689,34.111,14.752,,
TEa4,14.752,,,,,,,,
VIS1,54.746,,,,,,,,
VIS3,65.789,,,,,,,,
VIS4,80.854,,,,AUD,Mos,Tea,VIS,SS
VISmoe,64.877,,,avg,60.734,41.658,13.91633333,66.5665,49.4845
SS1,35.035,,,sem,11.48803317,7.547,2.753230607,5.379868284,8.206482158
SS3,69.735,,,,,,,,
SS4,37.298,,,,,,,,
SS5,55.87,,,,,,,,
